Metrica,Valor
Periodo cubierto,2026-02-02 a 2026-08-27
Fecha de corte,2026-09-02
Conversaciones (sesiones),28
Mensajes totales (usuario + bot),575
Promedio de mensajes por conversacion,20.5
Mediana de mensajes por conversacion,8
Minimo de mensajes en una conversacion,2
Maximo de mensajes en una conversacion,116
Numeros de telefono distintos,15
Recomendaciones entregadas,58
Referencias a socios (2 por recomendacion),116
Socios recomendados al menos una vez,22
Socios en el directorio,39
Conversaciones que terminaron en recomendacion,15
Referencias marcadas como emergencia,40
Referencias de respaldo (fallback),0
Distancia promedio al socio (km),5.83
