Semana ISO,Inicia,Conversaciones,Mensajes,Promedio msj/conv,Numeros distintos,Recomendaciones,Referencias
2026-W06,2026-02-02,2,95,47.5,1,0,0
2026-W07,2026-02-09,3,42,14.0,2,0,0
2026-W09,2026-02-23,1,6,6.0,1,0,0
2026-W10,2026-03-02,2,11,5.5,2,6,12
2026-W11,2026-03-09,3,45,15.0,2,6,12
2026-W12,2026-03-16,3,17,5.7,2,11,22
2026-W16,2026-04-13,1,46,46.0,1,5,10
2026-W21,2026-05-18,1,24,24.0,1,3,6
2026-W22,2026-05-25,1,21,21.0,1,10,20
2026-W25,2026-06-15,1,13,13.0,1,2,4
2026-W28,2026-07-06,2,99,49.5,2,12,24
2026-W31,2026-07-27,2,122,61.0,1,2,4
2026-W34,2026-08-17,4,20,5.0,4,1,2
2026-W35,2026-08-24,2,14,7.0,2,0,0
