Socio,Referencias,2026-W06,2026-W07,2026-W09,2026-W10,2026-W11,2026-W12,2026-W16,2026-W21,2026-W22,2026-W25,2026-W28,2026-W31,2026-W34,2026-W35
Hospital Centro Médico,16,0,0,0,0,0,5,0,0,6,0,2,2,1,0
MEDHOS,14,0,0,0,1,1,2,4,0,0,1,5,0,0,0
VISUALIZA,11,0,0,0,1,0,3,0,2,4,0,0,0,1,0
Nugenesis Plastic Surgery,11,0,0,0,3,1,0,1,0,0,0,4,2,0,0
Hospital Ángeles,11,0,0,0,1,0,5,3,0,0,0,2,0,0,0
Grupo Hospitalario La Paz,10,0,0,0,1,0,0,0,1,5,1,2,0,0,0
Hospital Herrera Llerandi,7,0,0,0,0,0,0,0,0,5,1,1,0,0,0
Centro Dental,6,0,0,0,1,5,0,0,0,0,0,0,0,0,0
Ríe Genial,4,0,0,0,0,2,0,0,1,0,0,1,0,0,0
Integra Cáncer Institute,4,0,0,0,2,0,0,0,0,0,1,1,0,0,0
Advance Urología,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0
ISMILE,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0
DENTIS,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Centro Dental San Lucas,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Centro Integral de Rehabilitación REHAB,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0
MEDCARE,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Clínica Dental Odontoafre,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
San Gregorio Hotel y Spa,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GrupoDent,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Santa Teresita Hotel & Spa Termal,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hospital Maranatha,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Facultad Odontología UFM,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Total,116,0,0,0,12,12,22,10,6,20,4,24,4,2,0
