Socio,Categoria,Activo,WhatsApp registrado
"ATENUN Atención Unica, S.A.",Hospitales y Centros Ambulatorios,False,77293636
Cedilab,Proveedores de servicios  complementarios,False,49959980
Centro Dental Kyrios,Clínicas Dentales,False,42794922
Clidenth,Clínicas Dentales,False,46437121
Clínicas La Guardía,Clínicas Dentales,False,42157508
Clínicas Sonríe,Clínicas Dentales,False,24447878
DIAGNOSTIXS,Hospitales y Centros Ambulatorios,False,25096222
Dental Core,Clínicas Dentales,False,41835895
Duo Dental Group,Clínicas Dentales,False,42153664
Elán Med Center,Cirugía Plástica y Estética,False,59347990
G SMILE,Clínicas Dentales,False,55270557
Hospital Multimedica Sololá,Hospitales y Centros Ambulatorios,False,35706582
Hospital Nasir,Hospitales y Centros Ambulatorios,False,55747725
IBIOMED,Proveedores de servicios  complementarios,False,57489721
INTERAMERICAN CAR RENTAL,Proveedores de servicios  complementarios,False,22141800
Pan American Services,Proveedores de servicios  complementarios,False,23352737
Vitalmed Odontología,Clínicas Dentales,False,38268176
