Socio,Categoria,Referencias,% del total,Feb 26,Mar 26,Abr 26,May 26,Jun 26,Jul 26,Ago 26
Hospital Centro Médico,Hospitales y Centros Ambulatorios,16,13.8,0,5,0,6,0,4,1
MEDHOS,Hospitales y Centros Ambulatorios,14,12.1,0,4,4,0,1,5,0
VISUALIZA,Clínicas de Oftalmología,11,9.5,0,4,0,6,0,0,1
Nugenesis Plastic Surgery,Cirugía Plástica y Estética,11,9.5,0,4,1,0,0,6,0
Hospital Ángeles,Hospitales y Centros Ambulatorios,11,9.5,0,6,3,0,0,2,0
Grupo Hospitalario La Paz,Hospitales y Centros Ambulatorios,10,8.6,0,1,0,6,1,2,0
Hospital Herrera Llerandi,Hospitales y Centros Ambulatorios,7,6.0,0,0,0,5,1,1,0
Centro Dental,Clínicas Dentales,6,5.2,0,6,0,0,0,0,0
Ríe Genial,Clínicas Dentales,4,3.4,0,2,0,1,0,1,0
Integra Cáncer Institute,Centros de Especialidades,4,3.4,0,2,0,0,1,1,0
Advance Urología,Centros de Especialidades,4,3.4,0,4,0,0,0,0,0
ISMILE,Clínicas Dentales,3,2.6,0,0,0,0,0,3,0
DENTIS,Clínicas Dentales,3,2.6,0,3,0,0,0,0,0
Centro Dental San Lucas,Clínicas Dentales,2,1.7,0,0,0,0,0,2,0
Centro Integral de Rehabilitación REHAB,Centros de Especialidades,2,1.7,0,1,1,0,0,0,0
MEDCARE,Hospitales y Centros Ambulatorios,2,1.7,0,2,0,0,0,0,0
Clínica Dental Odontoafre,Clínicas Dentales,1,0.9,0,0,0,0,0,1,0
San Gregorio Hotel y Spa,Spas,1,0.9,0,0,0,1,0,0,0
GrupoDent,Clínicas Dentales,1,0.9,0,0,0,1,0,0,0
Santa Teresita Hotel & Spa Termal,Spas,1,0.9,0,0,1,0,0,0,0
Hospital Maranatha,Hospitales y Centros Ambulatorios,1,0.9,0,1,0,0,0,0,0
Facultad Odontología UFM,Clínicas Dentales,1,0.9,0,1,0,0,0,0,0
Total,,116,100.0,0,46,10,26,4,28,2
